Nama,Email,Handphone,Gender,Age,Year Birth,Address,Location,Location Type,Device Model,Operating System,Wifi Usage Time (min/day),Screen On Time (hours/day),Battery Drain (mAh/day),Number of Apps Installed,Data Usage (MB/day),Login Hour,Digital Interest,generation,Brand,Activity,Email Provider,Phone Provider,Higher Education
R.M. Dipa Wacana,r.m.dipawacana453@outlook.com,85607712989,Male,26,1998,"Gg. Wonoayu No. 94, Jakarta Barat, 83325",Gedung Cyber,Office,Samsung Galaxy S21,Android,120,3.3,734,35,583,19,streaming video,Gen Z,Samsung,Malam,outlook.com,Indosat IM3,Ya
"Puti Ratih Usamah, S.Kom",putiratihusamahs.kom454@gmail.com,81265400196,Male,43,1981,"Gg. Jend. Sudirman No. 71, Jakarta Pusat, 14869",Harton Tower,Office,Google Pixel 5,Android,88,1.3,557,13,164,16,sosmed,Millennials,Google,Sore,gmail.com,Telkomsel,Ya
Ade Zulaika,adezulaika455@gmail.com,88791446092,Male,45,1979,"Jl. Ronggowarsito No. 741, Jakarta Pusat, 67194",Ramen Ya! Kota Kasablanka Lt.UG,Restaurant,iPhone 12,iOS,143,3.9,1160,24,398,7,streaming video,Gen X,iPhone,Pagi,gmail.com,Smartfren,Tidak
Balidin Samosir,balidinsamosir456@gmail.com,89814528108,Female,27,1997,"Jl. Jayawijaya No. 03, Tangerang, 09517",Stasiun Boulevard Utara,Transportation,iPhone 12,iOS,74,1.6,436,13,182,15,sosmed,Gen Z,iPhone,Sore,gmail.com,Tri,Tidak
"Jamil Maryadi, S.Psi",jamilmaryadis.psi457@gmail.com,88395891473,Female,27,1997,"Gang Monginsidi No. 4, Jakarta Pusat, 41955",Tuwuh Treats Bintaro,Cafe,iPhone 12,iOS,74,1.6,587,15,275,11,sosmed,Gen Z,iPhone,Siang,gmail.com,Smartfren,Ya
"Fitria Fujiati, S.E.I",fitriafujiatis.e.i458@aol.com,82120561907,Male,46,1978,"Gang HOS. Cokroaminoto No. 1, Bogor, 75942",Menara Satu,Office,OnePlus 9,Android,234,4.7,1707,55,871,3,news,Gen X,OnePlus,Dini Hari,aol.com,Telkomsel,Ya
Lantar Dabukke,lantardabukke459@protonmail.com,82165555278,Female,58,1966,"Gang Siliwangi No. 176, Jakarta Timur, 89303",Menara Satu,Office,iPhone 12,iOS,56,1.0,547,10,142,14,sosmed,Gen X,iPhone,Siang,protonmail.com,Telkomsel,Tidak
Yessi Riyanti,yessiriyanti460@gmail.com,82154147228,Male,50,1974,"Gg. Abdul Muis No. 27, Jakarta Pusat, 87165",Warung Tekko Kalibata,Restaurant,OnePlus 9,Android,174,2.4,639,37,545,0,streaming video,Gen X,OnePlus,Dini Hari,gmail.com,Telkomsel,Tidak
"Jindra Tarihoran, S.E.",jindratarihorans.e.461@gmail.com,88638934021,Female,20,2004,"Jalan Setiabudhi No. 68, Jakarta Utara, 83000",Stasiun Bundaran HI,Transportation,Samsung Galaxy S21,Android,523,9.0,2696,91,1561,8,other,Gen Z,Samsung,Pagi,gmail.com,Smartfren,Ya
Salimah Hutagalung,salimahhutagalung462@yahoo.com,88237899153,Male,55,1969,"Jl. Raya Setiabudhi No. 298, Jakarta Selatan, 46832",JEC Kedoya,Compound Space,Samsung Galaxy S21,Android,123,3.3,938,36,438,9,streaming video,Gen X,Samsung,Pagi,yahoo.com,Smartfren,Tidak
Titin Wijayanti,titinwijayanti463@outlook.com,85571276156,Male,55,1969,"Gang Laswi No. 56, Jakarta Utara, 25586",MTM Representative Office,Office,Samsung Galaxy S21,Android,216,5.9,1789,54,987,19,news,Gen X,Samsung,Malam,outlook.com,Indosat IM3,Tidak
Ade Latupono,adelatupono464@gmail.com,85262819527,Male,23,2001,"Gg. Bangka Raya No. 5, Jakarta Utara, 97076",Tous les Jours Sency,Cafe,iPhone 12,iOS,290,4.6,1694,50,809,2,news,Gen Z,iPhone,Dini Hari,gmail.com,Telkomsel,Tidak
"Ir. Ozy Rahayu, S.Pt",ir.ozyrahayus.pt465@gmail.com,85580978196,Female,26,1998,"Jalan Joyoboyo No. 86, Jakarta Pusat, 01684",Graha Aruna,Office,Xiaomi Mi 11,Android,68,1.3,583,10,281,3,sosmed,Gen Z,Xiaomi,Dini Hari,gmail.com,Indosat IM3,Ya
Oliva Safitri,olivasafitri466@outlook.com,88543810437,Female,55,1969,"Gg. PHH. Mustofa No. 157, Tangerang Selatan, 45325",8TH Brew Coffee Shop,Cafe,OnePlus 9,Android,265,4.8,1770,51,723,21,news,Gen X,OnePlus,Malam,outlook.com,Smartfren,Tidak
R. Edward Nainggolan,r.edwardnainggolan467@gmail.com,88264457767,Male,51,1973,"Jl. Yos Sudarso No. 4, Bekasi, 80103",Stasiun Fatmawati,Transportation,Samsung Galaxy S21,Android,414,7.3,2349,75,1092,0,e-commerce,Gen X,Samsung,Dini Hari,gmail.com,Smartfren,Ya
Elvin Habibi,elvinhabibi468@gmail.com,81278912195,Female,41,1983,"Gg. Monginsidi No. 5, Jakarta Utara, 55799",Warung Tekko Daan Mogot,Restaurant,Google Pixel 5,Android,238,4.0,1414,47,661,8,news,Millennials,Google,Pagi,gmail.com,Telkomsel,Tidak
Darmana Manullang,darmanamanullang469@gmail.com,85188377893,Male,46,1978,"Jalan W.R. Supratman No. 161, Jakarta Timur, 53831",Ruuaang Kopi,Cafe,Xiaomi Mi 11,Android,429,7.5,1921,61,1102,1,e-commerce,Gen X,Xiaomi,Dini Hari,gmail.com,Telkomsel,Tidak
Najib Puspasari,najibpuspasari470@aol.com,85149242000,Male,37,1987,"Gang Otto Iskandardinata No. 89, Bogor, 32901",Suasana Kopi Gandaria,Cafe,Xiaomi Mi 11,Android,39,1.9,541,16,294,17,sosmed,Millennials,Xiaomi,Sore,aol.com,Telkomsel,Tidak
Unjani Wasita,unjaniwasita471@gmail.com,85699458930,Male,40,1984,"Jl. Rumah Sakit No. 436, Jakarta Barat, 52639",Stasiun Bundaran HI,Transportation,Samsung Galaxy S21,Android,248,4.6,1396,52,883,8,news,Millennials,Samsung,Pagi,gmail.com,Indosat IM3,Tidak
"R.A. Olivia Aryani, S.Psi",r.a.oliviaaryanis.psi472@gmail.com,88104256986,Female,53,1971,"Gang Ciumbuleuit No. 757, Jakarta Selatan, 21489",MTM Representative Office,Office,Xiaomi Mi 11,Android,541,9.4,2452,93,1811,1,other,Gen X,Xiaomi,Dini Hari,gmail.com,Smartfren,Ya
Dina Najmudin,dinanajmudin473@gmail.com,81824804325,Female,26,1998,"Jalan Siliwangi No. 6, Bogor, 33715",Pard Coffee,Cafe,Xiaomi Mi 11,Android,139,3.0,697,37,513,11,streaming video,Gen Z,Xiaomi,Siang,gmail.com,XL,Tidak
Carla Wulandari,carlawulandari474@outlook.com,88732729355,Male,29,1995,"Jl. Ahmad Dahlan No. 602, Tangerang, 13428",Kintaro Sushi PIK,Restaurant,iPhone 12,iOS,289,5.0,1625,45,687,0,news,Millennials,iPhone,Dini Hari,outlook.com,Smartfren,Tidak
"R. Reza Pudjiastuti, M.Ak",r.rezapudjiastutim.ak475@gmail.com,83253702807,Female,49,1975,"Gg. HOS. Cokroaminoto No. 011, Jakarta Selatan, 53401",Galeri Lafayette,Compound Space,Xiaomi Mi 11,Android,210,4.9,1657,55,765,19,news,Gen X,Xiaomi,Malam,gmail.com,AXIS,Ya
"H. Garda Firgantoro, S.Pt",h.gardafirgantoros.pt476@gmail.com,81797365078,Female,54,1970,"Jl. Merdeka No. 028, Jakarta Utara, 08593",Stasiun Dukuh Atas BNI,Transportation,Samsung Galaxy S21,Android,412,6.2,2201,68,1085,4,e-commerce,Gen X,Samsung,Dini Hari,gmail.com,XL,Ya
"Puti Keisha Waluyo, S.Pd",putikeishawaluyos.pd477@outlook.com,88664677129,Female,49,1975,"Gg. Laswi No. 3, Bekasi, 19399",Koridor 13 Halte Rawa Barat,Transportation,Google Pixel 5,Android,318,6.6,2089,77,1126,13,e-commerce,Gen X,Google,Siang,outlook.com,Smartfren,Ya
Akarsana Nuraini,akarsananuraini478@yahoo.com,85707196846,Female,59,1965,"Jl. Abdul Muis No. 983, Jakarta Utara, 60193",Sambalado,Restaurant,iPhone 12,iOS,258,4.2,1315,44,762,14,news,Gen X,iPhone,Siang,yahoo.com,Indosat IM3,Tidak
drg. Lasmanto Ramadan,drg.lasmantoramadan479@gmail.com,88739340139,Female,41,1983,"Gang Sukajadi No. 222, Jakarta Timur, 60923",Tuwuh Treats Bintaro,Cafe,OnePlus 9,Android,258,4.3,1759,59,718,9,news,Millennials,OnePlus,Pagi,gmail.com,Smartfren,Ya
Putri Mangunsong,putrimangunsong480@yahoo.com,89957340272,Male,57,1967,"Jl. Tebet Barat Dalam No. 4, Depok, 96200",Daytrans Grogol,Transportation,Samsung Galaxy S21,Android,189,4.8,1681,59,795,5,news,Gen X,Samsung,Pagi,yahoo.com,Tri,Tidak
Marsudi Narpati,marsudinarpati481@gmail.com,89619707256,Male,51,1973,"Gang Lembong No. 60, Jakarta Pusat, 97473",Koridor 01 Halte Kebon Sirih arah Kota,Transportation,iPhone 12,iOS,155,2.4,954,39,441,19,streaming video,Gen X,iPhone,Malam,gmail.com,Tri,Tidak
Raditya Prasetya,radityaprasetya482@gmail.com,88233820027,Male,34,1990,"Gang Medokan Ayu No. 981, Jakarta Pusat, 99199",Warung Tekko Artha Gading,Restaurant,Samsung Galaxy S21,Android,528,10.4,2717,87,2140,18,other,Millennials,Samsung,Sore,gmail.com,Smartfren,Tidak
"Dr. Nadia Wulandari, S.Pd",dr.nadiawulandaris.pd483@outlook.com,88251744122,Male,56,1968,"Gg. Rungkut Industri No. 699, Bogor, 10423",Tujuhari Coffee,Cafe,iPhone 12,iOS,549,11.1,2851,87,1814,3,other,Gen X,iPhone,Dini Hari,outlook.com,Smartfren,Ya
"Shakila Winarno, S.Sos",shakilawinarnos.sos484@aol.com,81507230739,Female,49,1975,"Gang Otto Iskandardinata No. 34, Jakarta Timur, 04001",Warung Tekko Pluit Village,Restaurant,Xiaomi Mi 11,Android,78,1.6,470,18,230,0,sosmed,Gen X,Xiaomi,Dini Hari,aol.com,Indosat IM3,Ya
Jarwadi Januar,jarwadijanuar485@yahoo.com,81415196084,Female,39,1985,"Gg. Sukajadi No. 454, Jakarta Selatan, 51970",Los Medellin,Cafe,iPhone 12,iOS,444,6.0,1873,61,1093,24,e-commerce,Millennials,iPhone,Dini Hari,yahoo.com,Indosat IM3,Tidak
"Nardi Wijaya, S.Pt",nardiwijayas.pt486@gmail.com,82221952323,Male,36,1988,"Jalan Jend. Sudirman No. 7, Tangerang Selatan, 85630",Tous les Jours Sency,Cafe,Xiaomi Mi 11,Android,80,1.1,417,18,298,1,sosmed,Millennials,Xiaomi,Dini Hari,gmail.com,Telkomsel,Ya
Kusuma Novitasari,kusumanovitasari487@gmail.com,81785398195,Female,57,1967,"Jl. Pasirkoja No. 393, Jakarta Barat, 37417",Tujuhari Coffee,Cafe,iPhone 12,iOS,131,3.8,739,34,330,10,streaming video,Gen X,iPhone,Pagi,gmail.com,XL,Tidak
"Tiara Gunawan, S.H.",tiaragunawans.h.488@gmail.com,82226635134,Female,57,1967,"Jl. Veteran No. 25, Tangerang, 47179",Galeri Lafayette,Compound Space,iPhone 12,iOS,228,4.4,1734,46,804,16,news,Gen X,iPhone,Sore,gmail.com,Telkomsel,Ya
"R.A. Gina Wibisono, S.Psi",r.a.ginawibisonos.psi489@gmail.com,83815167782,Female,32,1992,"Jalan Rajiman No. 8, Jakarta Pusat, 10890",Warung Tekko Daan Mogot,Restaurant,Xiaomi Mi 11,Android,416,7.3,1882,62,1333,21,e-commerce,Millennials,Xiaomi,Malam,gmail.com,AXIS,Ya
Hasta Ardianto,hastaardianto490@gmail.com,85972776487,Male,21,2003,"Jl. Suryakencana No. 52, Bogor, 60463",Ramen Ya! Gandaria City,Restaurant,Google Pixel 5,Android,586,9.3,2403,94,2332,5,other,Gen Z,Google,Pagi,gmail.com,XL,Tidak
Lukita Kusmawati,lukitakusmawati491@gmail.com,83864653483,Male,47,1977,"Gg. Asia Afrika No. 652, Bogor, 89170",JEC Kedoya,Compound Space,Google Pixel 5,Android,416,6.1,2279,71,1096,24,e-commerce,Gen X,Google,Dini Hari,gmail.com,AXIS,Tidak
Fathonah Sihombing,fathonahsihombing492@outlook.com,81360901950,Female,53,1971,"Jalan Tubagus Ismail No. 13, Tangerang, 78332",Think Coffee Club,Cafe,iPhone 12,iOS,152,3.7,948,22,507,0,streaming video,Gen X,iPhone,Dini Hari,outlook.com,Telkomsel,Tidak
"Ajeng Situmorang, S.H.",ajengsitumorangs.h.493@yahoo.com,82231465633,Female,36,1988,"Jalan Sukajadi No. 9, Jakarta Timur, 15613",Jack & Joe Coffee and Eatery Lebak Bulus,Cafe,Xiaomi Mi 11,Android,87,1.5,594,19,198,7,sosmed,Millennials,Xiaomi,Pagi,yahoo.com,Telkomsel,Ya
Edison Pradana,edisonpradana494@gmail.com,88708242233,Male,23,2001,"Gang Rawamangun No. 245, Bekasi, 10092",Dua Coffee @ Tebet,Cafe,OnePlus 9,Android,329,6.8,1892,69,1383,17,e-commerce,Gen Z,OnePlus,Sore,gmail.com,Smartfren,Tidak
"Arsipatra Farida, S.I.Kom",arsipatrafaridas.i.kom495@outlook.com,81266180654,Female,29,1995,"Jl. Gardujati No. 35, Jakarta Selatan, 61354",Ali Kopi Roastery Free Wifi,Cafe,Samsung Galaxy S21,Android,107,2.5,1176,24,545,4,streaming video,Millennials,Samsung,Dini Hari,outlook.com,Telkomsel,Ya
"Nova Fujiati, M.TI.",novafujiatim.ti.496@outlook.com,81986666369,Male,57,1967,"Jalan H.J Maemunah No. 552, Jakarta Barat, 82576",Warung Tekko Kemang,Restaurant,Google Pixel 5,Android,493,10.9,2928,88,2116,23,other,Gen X,Google,Malam,outlook.com,XL,Ya
"dr. Febi Pertiwi, S.Sos",dr.febipertiwis.sos497@gmail.com,88596382777,Female,43,1981,"Jl. Merdeka No. 880, Jakarta Pusat, 06816",Warung Tekko Daan Mogot,Restaurant,iPhone 12,iOS,182,4.8,1500,51,807,20,news,Millennials,iPhone,Malam,gmail.com,Smartfren,Ya
Siska Rahimah,siskarahimah498@gmail.com,83333815524,Female,20,2004,"Jl. Ciwastra No. 20, Jakarta Pusat, 96332",Dua Coffee @ Cipete,Cafe,iPhone 12,iOS,102,2.9,918,37,362,24,streaming video,Gen Z,iPhone,Dini Hari,gmail.com,AXIS,Tidak
Kartika Kuswoyo,kartikakuswoyo499@yahoo.com,89830633778,Male,53,1971,"Jalan Kutai No. 28, Jakarta Selatan, 38790",Stay Kopi Kopia,Cafe,Google Pixel 5,Android,274,4.5,1356,54,869,0,news,Gen X,Google,Dini Hari,yahoo.com,Tri,Tidak
"T. Waluyo Mayasari, S.E.",t.waluyomayasaris.e.500@outlook.com,85352961459,Female,45,1979,"Jl. R.E Martadinata No. 077, Jakarta Timur, 87121",Stasiun Velodrome,Transportation,iPhone 12,iOS,143,3.6,988,26,504,0,streaming video,Gen X,iPhone,Dini Hari,outlook.com,Telkomsel,Ya
"Hasna Nashiruddin, S.Farm",hasnanashiruddins.farm501@gmail.com,88325214389,Male,32,1992,"Gg. Kendalsari No. 835, Jakarta Timur, 11097",Ruuaang Kopi,Cafe,Google Pixel 5,Android,66,1.3,369,14,195,23,sosmed,Millennials,Google,Malam,gmail.com,Smartfren,Ya
Bagiya Palastri,bagiyapalastri502@yahoo.com,88529870074,Female,24,2000,"Gg. M.T Haryono No. 243, Bogor, 01378",Ramen Ya! Gandaria City,Restaurant,Xiaomi Mi 11,Android,420,7.7,2017,74,1187,0,e-commerce,Gen Z,Xiaomi,Dini Hari,yahoo.com,Smartfren,Tidak
Ir. Rahmi Wulandari,ir.rahmiwulandari503@yahoo.com,83266488017,Female,55,1969,"Gang Ir. H. Djuanda No. 74, Tangerang Selatan, 58738",Think Coffee Club,Cafe,Xiaomi Mi 11,Android,582,8.4,2664,91,2493,6,other,Gen X,Xiaomi,Pagi,yahoo.com,AXIS,Ya
R.A. Talia Mustofa,r.a.taliamustofa504@gmail.com,83158830073,Male,52,1972,"Gang Ciwastra No. 8, Jakarta Utara, 99655",Menara FIF - Kantin 2,Compound Space,Google Pixel 5,Android,200,5.8,1291,50,965,13,news,Gen X,Google,Siang,gmail.com,AXIS,Ya
T. Ganjaran Utami,t.ganjaranutami505@gmail.com,82274945050,Male,47,1977,"Jl. Kapten Muslihat No. 2, Jakarta Barat, 51132",Stasiun Senayan,Transportation,Google Pixel 5,Android,493,8.5,2859,99,2450,23,other,Gen X,Google,Malam,gmail.com,Telkomsel,Ya
"Hj. Karen Tarihoran, S.Ked",hj.karentarihorans.ked506@gmail.com,89975763541,Female,49,1975,"Jalan W.R. Supratman No. 211, Jakarta Pusat, 56792",Menara FIF - Kantin 2,Compound Space,Samsung Galaxy S21,Android,348,6.6,2398,66,1415,6,e-commerce,Gen X,Samsung,Pagi,gmail.com,Tri,Ya
Ir. Tira Narpati,ir.tiranarpati507@gmail.com,87861983009,Male,27,1997,"Jalan Cihampelas No. 4, Tangerang, 12330",Kintaro Sushi PIK,Restaurant,Xiaomi Mi 11,Android,238,5.1,1408,45,941,13,news,Gen Z,Xiaomi,Siang,gmail.com,XL,Ya
"Kania Hassanah, S.E.I",kaniahassanahs.e.i508@gmail.com,85924335340,Female,42,1982,"Jalan Ahmad Yani No. 5, Jakarta Barat, 12297",Menara Satu,Office,Xiaomi Mi 11,Android,33,2.0,318,11,173,23,sosmed,Millennials,Xiaomi,Malam,gmail.com,XL,Ya
Kairav Maulana,kairavmaulana509@aol.com,88846287103,Male,22,2002,"Jl. Ahmad Yani No. 8, Tangerang, 28149",Gedung Cyber,Office,Google Pixel 5,Android,267,5.9,1740,45,791,21,news,Gen Z,Google,Malam,aol.com,Smartfren,Tidak
"Yusuf Siregar, S.Farm",yusufsiregars.farm510@outlook.com,81998301947,Male,31,1993,"Jalan Pasirkoja No. 811, Jakarta Barat, 55853",Warung Tekko Daan Mogot,Restaurant,iPhone 12,iOS,492,10.0,2513,90,1968,4,other,Millennials,iPhone,Dini Hari,outlook.com,XL,Ya
"H. Kusuma Widodo, S.Psi",h.kusumawidodos.psi511@yahoo.com,87716808402,Female,38,1986,"Jl. Pacuan Kuda No. 8, Bogor, 04918",Graha Aruna,Office,Google Pixel 5,Android,241,5.3,1767,58,976,13,news,Millennials,Google,Siang,yahoo.com,XL,Ya
Drs. Janet Wastuti,drs.janetwastuti512@gmail.com,81371302192,Male,39,1985,"Jl. Sukajadi No. 25, Depok, 65298",Graha Aruna,Office,Samsung Galaxy S21,Android,567,10.8,2911,89,1682,10,other,Millennials,Samsung,Pagi,gmail.com,Telkomsel,Ya
Lukman Hardiansyah,lukmanhardiansyah513@gmail.com,81439656723,Male,34,1990,"Gg. Stasiun Wonokromo No. 42, Tangerang, 35294",8TH Brew Coffee Shop,Cafe,Samsung Galaxy S21,Android,36,1.6,442,17,249,11,sosmed,Millennials,Samsung,Siang,gmail.com,Indosat IM3,Tidak
Garang Utama,garangutama514@gmail.com,85535847339,Female,57,1967,"Jalan Rajawali Barat No. 251, Bekasi, 84790",Stasiun Boulevard Utara,Transportation,OnePlus 9,Android,110,3.4,975,31,507,16,streaming video,Gen X,OnePlus,Sore,gmail.com,Indosat IM3,Tidak
dr. Ghaliyati Pratama,dr.ghaliyatipratama515@outlook.com,83848904175,Male,54,1970,"Gang Gegerkalong Hilir No. 285, Tangerang, 52225",Tuwuh Treats Bintaro,Cafe,Samsung Galaxy S21,Android,466,7.1,1984,73,1461,21,e-commerce,Gen X,Samsung,Malam,outlook.com,AXIS,Ya
"Hj. Lili Utami, S.Kom",hj.liliutamis.kom516@aol.com,81883538725,Male,25,1999,"Jl. Kendalsari No. 5, Bekasi, 37600",Galeri Lafayette,Compound Space,OnePlus 9,Android,126,2.2,1187,28,599,14,streaming video,Gen Z,OnePlus,Siang,aol.com,XL,Ya
Drs. Fitriani Sihombing,drs.fitrianisihombing517@gmail.com,89505337880,Male,44,1980,"Jalan R.E Martadinata No. 085, Jakarta Utara, 80637",Graha Aruna,Office,Xiaomi Mi 11,Android,120,3.8,940,36,535,15,streaming video,Gen X,Xiaomi,Sore,gmail.com,Tri,Ya
Kambali Prasasta,kambaliprasasta518@aol.com,85759877626,Male,25,1999,"Gg. Ir. H. Djuanda No. 286, Bogor, 37805",Tempat Kita Coffee,Cafe,iPhone 12,iOS,64,1.2,592,19,218,4,sosmed,Gen Z,iPhone,Dini Hari,aol.com,Indosat IM3,Tidak
"drg. Cinthia Irawan, S.Gz",drg.cinthiairawans.gz519@gmail.com,88479945543,Female,34,1990,"Gg. Soekarno Hatta No. 61, Bogor, 62159",Dua Coffee @ Cipete,Cafe,OnePlus 9,Android,574,8.5,2780,87,1809,17,other,Millennials,OnePlus,Sore,gmail.com,Smartfren,Ya
Kezia Widiastuti,keziawidiastuti520@gmail.com,89530167431,Male,51,1973,"Jalan Gedebage Selatan No. 7, Jakarta Barat, 12441",Kopitok Coffee Kemang,Cafe,OnePlus 9,Android,119,2.2,1123,22,371,21,streaming video,Gen X,OnePlus,Malam,gmail.com,Tri,Tidak
Puspa Mahendra,puspamahendra521@yahoo.com,85127522498,Male,20,2004,"Gg. Lembong No. 2, Jakarta Utara, 89769",Sambalado,Restaurant,OnePlus 9,Android,350,6.5,2364,75,1485,2,e-commerce,Gen Z,OnePlus,Dini Hari,yahoo.com,Telkomsel,Tidak
Maria Latupono,marialatupono522@gmail.com,81706956901,Male,25,1999,"Jalan Rajawali Barat No. 3, Bekasi, 25625",Tous les Jours Sency,Cafe,Google Pixel 5,Android,69,1.1,535,17,250,4,sosmed,Gen Z,Google,Dini Hari,gmail.com,XL,Tidak
Zulaikha Marpaung,zulaikhamarpaung523@yahoo.com,88695687404,Female,49,1975,"Gg. Erlangga No. 48, Jakarta Timur, 52523",Tuwuh Treats Bintaro,Cafe,Xiaomi Mi 11,Android,438,6.5,1849,64,1125,6,e-commerce,Gen X,Xiaomi,Pagi,yahoo.com,Smartfren,Tidak
Nurul Haryanti,nurulharyanti524@yahoo.com,88760475115,Male,48,1976,"Gg. Gegerkalong Hilir No. 9, Jakarta Barat, 46370",Liberte Italian Cuisine,Restaurant,Samsung Galaxy S21,Android,506,11.2,2623,98,2460,21,other,Gen X,Samsung,Malam,yahoo.com,Smartfren,Tidak
Elon Lazuardi,elonlazuardi525@gmail.com,81165810533,Female,57,1967,"Gg. Siliwangi No. 42, Jakarta Pusat, 11261",Ramen Ten 10 Kramat Jati,Restaurant,Samsung Galaxy S21,Android,272,5.2,1390,45,792,20,news,Gen X,Samsung,Malam,gmail.com,Telkomsel,Tidak
Vanya Yuniar,vanyayuniar526@gmail.com,89849417174,Male,59,1965,"Gg. Wonoayu No. 179, Jakarta Timur, 57195",Galeri Lafayette,Compound Space,Samsung Galaxy S21,Android,224,4.5,1646,57,665,17,news,Gen X,Samsung,Sore,gmail.com,Tri,Tidak
"R.M. Endra Haryanti, S.Ked",r.m.endraharyantis.ked527@gmail.com,89547741965,Female,29,1995,"Jl. Cihampelas No. 3, Jakarta Utara, 99198",Pard Coffee,Cafe,Google Pixel 5,Android,99,2.4,689,36,318,14,streaming video,Millennials,Google,Siang,gmail.com,Tri,Ya
"Drs. Widya Nasyiah, S.Kom",drs.widyanasyiahs.kom528@outlook.com,85752452700,Female,57,1967,"Gang Rungkut Industri No. 03, Bogor, 59672",Bukan Ruang,Cafe,iPhone 12,iOS,44,1.2,466,10,131,16,sosmed,Gen X,iPhone,Sore,outlook.com,Indosat IM3,Ya
"Tgk. Vanya Maulana, S.IP",tgk.vanyamaulanas.ip529@outlook.com,87806455374,Male,24,2000,"Jalan Ciumbuleuit No. 6, Tangerang Selatan, 54880",Tempat Kita Coffee,Cafe,Google Pixel 5,Android,175,3.0,801,32,338,8,streaming video,Gen Z,Google,Pagi,outlook.com,XL,Ya
Cahyo Budiman,cahyobudiman530@gmail.com,89853540590,Female,42,1982,"Gang Peta No. 7, Jakarta Barat, 24828",Tempat Kita Coffee,Cafe,Google Pixel 5,Android,228,4.8,1639,47,796,13,news,Millennials,Google,Siang,gmail.com,Tri,Tidak
Ida Dabukke,idadabukke531@aol.com,85823178847,Female,43,1981,"Jl. Suniaraja No. 52, Jakarta Utara, 70318",Pard Coffee,Cafe,Xiaomi Mi 11,Android,589,11.8,2629,86,2479,18,other,Millennials,Xiaomi,Sore,aol.com,Indosat IM3,Tidak
Dr. Wulan Pratama,dr.wulanpratama532@yahoo.com,89873176598,Male,47,1977,"Gang Moch. Toha No. 639, Jakarta Utara, 21338",Harton Tower,Office,OnePlus 9,Android,339,7.9,1987,66,1191,16,e-commerce,Gen X,OnePlus,Sore,yahoo.com,Tri,Ya
Salsabila Marbun,salsabilamarbun533@yahoo.com,82207875682,Female,23,2001,"Gg. Erlangga No. 37, Tangerang Selatan, 79844",Kopitok Coffee Kemang,Cafe,iPhone 12,iOS,431,6.4,2206,66,1200,18,e-commerce,Gen Z,iPhone,Sore,yahoo.com,Telkomsel,Tidak
"Jaya Hartati, S.E.",jayahartatis.e.534@outlook.com,85691668638,Female,22,2002,"Gang Kutisari Selatan No. 788, Tangerang Selatan, 92664",Kedai Inn Taman GBK,Cafe,Xiaomi Mi 11,Android,190,4.7,1276,57,915,16,news,Gen Z,Xiaomi,Sore,outlook.com,Indosat IM3,Ya
Ana Prasetyo,anaprasetyo535@gmail.com,87710940870,Male,30,1994,"Jalan Tebet Barat Dalam No. 76, Jakarta Timur, 52856",Warung Tekko Artha Gading,Restaurant,OnePlus 9,Android,389,6.1,2087,67,1383,0,e-commerce,Millennials,OnePlus,Dini Hari,gmail.com,XL,Tidak
Kajen Sudiati,kajensudiati536@gmail.com,82320665675,Female,25,1999,"Jalan Asia Afrika No. 1, Jakarta Timur, 42948",Sliced Terogong,Restaurant,Samsung Galaxy S21,Android,139,3.3,937,24,573,5,streaming video,Gen Z,Samsung,Pagi,gmail.com,Telkomsel,Tidak
"Ana Saptono, S.Gz",anasaptonos.gz537@outlook.com,81919924890,Male,30,1994,"Gg. Kapten Muslihat No. 984, Depok, 75819",Kopitok Coffee Kemang,Cafe,Samsung Galaxy S21,Android,289,5.9,1528,48,915,8,news,Millennials,Samsung,Pagi,outlook.com,XL,Ya
Akarsana Setiawan,akarsanasetiawan538@protonmail.com,81645606855,Female,34,1990,"Jalan Gedebage Selatan No. 80, Depok, 42095",Liberte Italian Cuisine,Restaurant,Samsung Galaxy S21,Android,593,11.1,2672,82,2258,12,other,Millennials,Samsung,Siang,protonmail.com,Indosat IM3,Tidak
Gaduh Kusumo,gaduhkusumo539@gmail.com,81232354269,Female,38,1986,"Jl. Dipenogoro No. 9, Bekasi, 73373",Warung Tekko Kramat Jati,Restaurant,Google Pixel 5,Android,576,9.5,2638,98,2281,10,other,Millennials,Google,Pagi,gmail.com,Telkomsel,Tidak
Bakda Prastuti,bakdaprastuti540@yahoo.com,85830164675,Female,27,1997,"Gg. Yos Sudarso No. 9, Jakarta Pusat, 62459",Warung Tekko Artha Gading,Restaurant,OnePlus 9,Android,592,9.4,2867,95,1701,9,other,Gen Z,OnePlus,Pagi,yahoo.com,Indosat IM3,Tidak
Jati Mayasari,jatimayasari541@mail.com,85724813027,Male,52,1972,"Jl. Tebet Barat Dalam No. 3, Tangerang Selatan, 12319",Liberica Cilandak Town Square,Cafe,iPhone 12,iOS,567,10.5,2817,89,2194,9,other,Gen X,iPhone,Pagi,mail.com,Indosat IM3,Tidak
Kayun Aryani,kayunaryani542@gmail.com,88801459122,Female,25,1999,"Gang Ahmad Dahlan No. 5, Jakarta Utara, 78922",Menara FIF - Kantin 2,Compound Space,iPhone 12,iOS,170,2.5,740,21,537,14,streaming video,Gen Z,iPhone,Siang,gmail.com,Smartfren,Tidak
